Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen

Hengelo;Ayhan Entius;06-42524787;AyhanEntius@einrot.com;Rozenstraat 122;Hengelo;woensdag 25 januari 2017;Afhalen;woensdag 25 januari 2017;16:36;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;2;Beenham, Ham, Ananas;€ 3,50;€ 20,90;€ 20,90;;€ 0,00;€ 20,90

Amsterdam Ceintuurbaan;Harmpje Horsthuis;06-48720378;HarmpjeHorsthuis@fleckens.hu;Prinsengracht 162;Amsterdam;dinsdag 16 oktober 2018;Afhalen;dinsdag 16 oktober 2018;16:08;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 22,85;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 22,85
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;

Hilversum;Rewien van Megen;06-65665608;RewienvanMegen@gustr.com;Bonifaciuslaan 101;Hilversum;zondag 2 juli 2017;Afhalen;zondag 2 juli 2017;19:17;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Rotterdam Zevenkamp;Cathalina Polman;06-86019098;CathalinaPolman@cuvox.de;Schieweg 12;Rotterdam;donderdag 5 januari 2017;Afhalen;donderdag 5 januari 2017;19:42;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;2;Ananas, Bacon;€ 2,00;€ 21,90;€ 66,70;3e pizza gratis bij bezorgen;€ 0,00;€ 66,70
;;;;;;;;;;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Woerden;Geronimo van der Straten;06-23058755;GeronimovanderStraten@cuvox.de;De Veste 194;Woerden;dinsdag 18 april 2017;Bezorgen;dinsdag 18 april 2017;16:01;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 52,80;;€ 0,00;€ 52,80
;;;;;;;;;;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;

Zwolle;Lyndon Horst;06-22221921;LyndonHorst@gustr.com;Heerkensmarke 85;Zwolle;vrijdag 20 september 2019;Bezorgen;vrijdag 20 september 2019;19:52;Hawaii;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Haarlem Tesselschadeplein;Charafeddine Schipper;06-40887448;CharafeddineSchipper@rhyta.com;Gandhistraat 24;Haarlem;woensdag 2 januari 2019;Afhalen;woensdag 2 januari 2019;20:47;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 12,95;€ 88,55;;€ 0,00;€ 88,55
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;;4;;€ 0,00;€ 35,80;;;;
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Amstelveen;July Bogaers;06-65828039;JulyBogaers@rhyta.com;Vogelkerslaan 142;Amstelveen;dinsdag 17 juli 2018;Bezorgen;dinsdag 17 juli 2018;20:06;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Utrecht Rijnlaan;Jacky Cloosterman;06-53435340;JackyCloosterman@armyspy.com;Van der Mondestraat 108;Utrecht;zondag 5 november 2017;Afhalen;zondag 5 november 2017;16:10;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Zaandam;Joni van den Toorn;06-30391123;JonivandenToorn@einrot.com;Oostmolenweg 22;Kloetinge;donderdag 30 augustus 2018;Bezorgen;donderdag 30 augustus 2018;16:13;Deluxe;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 49,80;;€ 0,00;€ 49,80
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;

Ede;Ka Hazebroek;06-80841735;KaHazebroek@gustr.com;Van Anrooylaan 75;Ede;maandag 1 juli 2019;Bezorgen;maandag 1 juli 2019;19:30;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 20,90;3e pizza gratis bij bezorgen;€ 0,00;€ 20,90
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Delfzijl;Jidde van Amstel;06-25103494;JiddevanAmstel@armyspy.com;Molenberg 174;Delfzijl;zaterdag 17 november 2018;Afhalen;zaterdag 17 november 2018;16:17;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Delfzijl;Egon Ritsema;06-44543442;EgonRitsema@einrot.com;Krommeweg 165;Losdorp;zondag 18 maart 2018;Afhalen;zondag 18 maart 2018;20:03;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 75,70;;€ 0,00;€ 75,70
;;;;;;;;;;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 51,80;;;;

Maarssen;Jesmer de Valk;06-69381484;JesmerdeValk@einrot.com;Kamelenspoor 103;Maarssen;donderdag 25 juli 2019;Afhalen;donderdag 25 juli 2019;19:13;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 10,95;25% korting op je bestelling;€ 2,74;€ 8,21

Eindhoven Tongelre;Anastacia Verkroost;06-82478629;AnastaciaVerkroost@dayrep.com;Tweede Kruizemuntstraat 150;Eindhoven;donderdag 11 juli 2019;Afhalen;donderdag 11 juli 2019;17:46;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;;4;Basilicum;€ 0,50;€ 33,80;€ 33,80;;€ 0,00;€ 33,80

Amsterdam Oostelijke Handelskade;Jimme de Ligt;06-22884468;JimmedeLigt@rhyta.com;Stekkenbergweg 61;Amsterdam-Zuidoost;maandag 6 mei 2019;Bezorgen;maandag 6 mei 2019;19:34;Creamy Bacon;Family XXL Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 74,70;;€ 0,00;€ 74,70
;;;;;;;;;;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Venlo;Gökhan Meulensteen;06-61203483;GokhanMeulensteen@teleworm.us;Wilgenstraat 61;Tegelen;donderdag 12 juli 2018;Bezorgen;donderdag 12 juli 2018;18:11;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 23,90;3e pizza gratis bij bezorgen;€ 0,00;€ 23,90
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;

Spijkenisse;Zerina Schoonbeek;06-88962777;ZerinaSchoonbeek@rhyta.com;Dahliastraat 72;Spijkenisse;maandag 18 februari 2019;Bezorgen;maandag 18 februari 2019;19:35;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 83,70;3e pizza gratis bij bezorgen;€ 7,95;€ 75,75
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;Beenham, Chorizo, Rode Ui;€ 3,50;€ 30,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;

Rijswijk;Krystel Raaphorst;06-90215332;KrystelRaaphorst@cuvox.de;Haagweg 106;Rijswijk;vrijdag 11 januari 2019;Afhalen;vrijdag 11 januari 2019;20:03;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Bergen op Zoom;Sigrid van Aken;06-80287857;SigridvanAken@fleckens.hu;Sintekrijnsputje 128;Halsteren;donderdag 20 september 2018;Bezorgen;donderdag 20 september 2018;18:59;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 60,25;;€ 0,00;€ 60,25
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Beenham, Ananas;€ 2,50;€ 12,45;;;;
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Brunssum;Arash Ermers;06-19112979;ArashErmers@einrot.com;Heugerstraat 31;Brunssum;woensdag 20 juni 2018;Bezorgen;woensdag 20 juni 2018;19:15;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 60,70;;€ 0,00;€ 60,70
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Uden;Conner Samuels;06-86610664;ConnerSamuels@gustr.com;Biesthoekstraat 118;Volkel;woensdag 10 juli 2019;Afhalen;woensdag 10 juli 2019;20:50;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;;2;Kaasmix, Merguez, Shoarma, Pepperoni;€ 5,00;€ 33,90;€ 71,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 69,70
;;;;;;;;;;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Tiel;Jorik Marissen;06-55412866;JorikMarissen@fleckens.hu;De Nes 127;Tiel;woensdag 13 juni 2018;Bezorgen;woensdag 13 juni 2018;19:31;Beenham;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 62,75;25% korting op je bestelling;€ 15,69;€ 47,06
;;;;;;;;;;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 15,95;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Uden;Lavina van der Pols;06-64669917;LavinavanderPols@jourrapide.com;Rondeel 135;Uden;zondag 1 april 2018;Afhalen;zondag 1 april 2018;16:54;Deluxe;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 33,85;;€ 0,00;€ 33,85
;;;;;;;;;;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Ridderkerk;Jadon van Eekeren;06-94133189;JadonvanEekeren@jourrapide.com;Oosterparkweg 50;Ridderkerk;woensdag 12 april 2017;Afhalen;woensdag 12 april 2017;19:35;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 17,90;€ 17,90;2e pizza gratis bij afhalen;€ 0,00;€ 17,90

Voorburg;Mallory van den Heerik;06-64864858;MalloryvandenHeerik@einrot.com;Spoelsterstraat 162;Hengelo;vrijdag 20 september 2019;Afhalen;vrijdag 20 september 2019;18:16;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 35,80;;€ 0,00;€ 35,80
;;;;;;;;;;Pollo Pomodore;Medium Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 17,90;;;;

Delft Binnenwatersloot;Melanie Lans;06-82208958;MelanieLans@jourrapide.com;Lijsterbeslaan 163;Delft;zaterdag 11 februari 2017;Afhalen;zaterdag 11 februari 2017;20:31;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 39,80;;€ 0,00;€ 39,80
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;Ham, Bacon;€ 2,00;€ 21,90;;;;

Veldhoven;Sherona van Belzen;06-47999052;SheronavanBelzen@jourrapide.com;Schoolstraat 28;Veldhoven;donderdag 25 januari 2018;Afhalen;donderdag 25 januari 2018;17:06;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;Merguez, Rode Ui;€ 2,00;€ 8,95;€ 91,60;;€ 0,00;€ 91,60
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;;4;;€ 0,00;€ 51,80;;;;

Voorschoten;Djuri Minderhoud;06-48676225;DjuriMinderhoud@fleckens.hu;De Zeven Provinciën 170;Voorschoten;vrijdag 30 november 2018;Afhalen;vrijdag 30 november 2018;19:23;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;;2;Kaas, Spaanse Pepers, Basilicum;€ 2,50;€ 28,90;€ 28,90;;€ 0,00;€ 28,90

Lelystad;Noah Swinkels;06-95423550;NoahSwinkels@fleckens.hu;Noordersluisweg 8;Lelystad;zaterdag 24 november 2018;Bezorgen;zaterdag 24 november 2018;19:16;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 10,95;;€ 0,00;€ 10,95

Breda Graaf Hendrik III Plein;Amra Kiel;06-45630931;AmraKiel@armyspy.com;Doornenburgstraat 136;Breda;donderdag 15 november 2018;Afhalen;donderdag 15 november 2018;17:39;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 27,90;€ 41,80;;€ 0,00;€ 41,80
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;

Valkenswaard;Dawid Bremer;06-66479132;DawidBremer@jourrapide.com;Valkenierstraat 131;Valkenswaard;dinsdag 4 september 2018;Afhalen;dinsdag 4 september 2018;17:29;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;2;Kip, Knoflooksaus Swirl, Rode Ui, Pepperoni;€ 3,50;€ 24,90;€ 24,90;;€ 0,00;€ 24,90

Landgraaf;Xandro Maurer;06-90725136;XandroMaurer@teleworm.us;Achter 't Klooster 200;Landgraaf;maandag 20 maart 2017;Afhalen;maandag 20 maart 2017;19:52;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;€ 42,75;;€ 0,00;€ 42,75
;;;;;;;;;;Americana;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Oosterhout;Kayra Hermse;06-41718893;KayraHermse@jourrapide.com;Willem van Oranjestraat 67;Oosterhout;dinsdag 4 april 2017;Bezorgen;dinsdag 4 april 2017;19:30;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 13,95;;€ 0,00;€ 13,95

Amersfoort;Damian van Looij;06-81560972;DamianvanLooij@gustr.com;Bernulfusstraat 140;Amersfoort;woensdag 14 augustus 2019;Afhalen;woensdag 14 augustus 2019;19:29;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;;1;Honing Mosterdsaus, Knoflooksaus Swirl, Spaanse Pepers, Knoflooksaus Swirl;€ 2,50;€ 12,45;€ 12,45;25% korting op je bestelling;€ 3,11;€ 9,34

Eindhoven Gestel;Auke Brok;06-70615098;AukeBrok@einrot.com;Meerveldhovenseweg 47;Eindhoven;dinsdag 19 februari 2019;Afhalen;dinsdag 19 februari 2019;16:22;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 7,95;€ 85,55;;€ 0,00;€ 85,55
;;;;;;;;;;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;;4;Pepperoni, Chicken Kebab, Chorizo;€ 4,00;€ 35,80;;;;
;;;;;;;;;;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;

Maastricht;Leana de Hooge;06-32136181;LeanadeHooge@rhyta.com;Churchilllaan 188;Maastricht;zondag 22 september 2019;Bezorgen;zondag 22 september 2019;16:22;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 37,85;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 35,85
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Valkenswaard;Rüveyda Poels;06-31573683;RuveydaPoels@teleworm.us;Elviradal 100;Valkenswaard;zaterdag 20 januari 2018;Afhalen;zaterdag 20 januari 2018;20:33;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;€ 9,90;;€ 0,00;€ 9,90

Valkenswaard;Şerife Klabbers;06-21612537;SerifeKlabbers@rhyta.com;Zeelberg 82;Valkenswaard;zaterdag 1 september 2018;Bezorgen;zaterdag 1 september 2018;19:55;Supreme;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 40,85;;€ 0,00;€ 40,85
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Haarlem Tesselschadeplein;Husein Bierma;06-75642532;HuseinBierma@cuvox.de;Prinsessekade 64;Haarlem;maandag 6 mei 2019;Bezorgen;maandag 6 mei 2019;20:39;Tonno;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;€ 39,80;2e pizza gratis bij afhalen;€ 0,00;€ 39,80
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;;;;

Brunssum;Wibe Keulen;06-12154737;WibeKeulen@fleckens.hu;Oelovenstraat 156;Brunssum;vrijdag 15 februari 2019;Afhalen;vrijdag 15 februari 2019;19:34;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 40,75;;€ 0,00;€ 40,75
;;;;;;;;;;Perfect Pepperoni;Italian Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 11,90;;;;
;;;;;;;;;;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;

Rotterdam Mariniersweg;Katerina Herweijer;06-38527296;KaterinaHerweijer@superrito.com;Randweg 155;Rotterdam;zaterdag 21 april 2018;Bezorgen;zaterdag 21 april 2018;20:58;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 21,90;25% korting op je bestelling;€ 5,48;€ 16,43
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Valkenswaard;Kadija Schavemaker;06-13293794;KadijaSchavemaker@cuvox.de;Passage 69;Valkenswaard;zondag 1 oktober 2017;Afhalen;zondag 1 oktober 2017;16:44;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;;2;Kaasmix, Groene Olijven;€ 2,50;€ 18,90;€ 18,90;;€ 0,00;€ 18,90

Roermond;Ramona Radstake;06-71807388;RamonaRadstake@superrito.com;Rutgerstraat 80;Herten;maandag 6 november 2017;Bezorgen;maandag 6 november 2017;17:16;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;€ 59,70;;€ 0,00;€ 59,70
;;;;;;;;;;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Roosendaal;Vikash Nelemans;06-37572098;VikashNelemans@dayrep.com;Koraaldijk 196;Roosendaal;maandag 29 oktober 2018;Bezorgen;maandag 29 oktober 2018;19:39;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;Honing Mosterdsaus, Rode Ui, Groene Olijven;€ 2,50;€ 17,45;€ 17,45;;€ 0,00;€ 17,45

Maassluis;Arieke Velzeboer;06-56545300;AriekeVelzeboer@superrito.com;Boeier 21;Maassluis;zaterdag 16 november 2019;Bezorgen;zaterdag 16 november 2019;19:24;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 8,95;25% korting op je bestelling;€ 2,24;€ 6,71

Breda Kesterenlaan;Saffira de Beijer;06-39372695;SaffiradeBeijer@armyspy.com;Baronielaan 117;Breda;zaterdag 3 augustus 2019;Afhalen;zaterdag 3 augustus 2019;16:16;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 15,90;€ 47,70;;€ 0,00;€ 47,70
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 31,80;;;;

Eindhoven Tongelre;Arnoud Lamens;06-85020584;ArnoudLamens@einrot.com;Boschdijk 152;Eindhoven;zaterdag 19 januari 2019;Bezorgen;zaterdag 19 januari 2019;19:55;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 77,75;25% korting op je bestelling;€ 19,44;€ 58,31
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;4;Kaas, Kip;€ 2,00;€ 63,80;;;;

Nieuwegein;Marlou Reedijk;06-76764662;MarlouReedijk@rhyta.com;Trekvalk 151;Nieuwegein;vrijdag 12 januari 2018;Afhalen;vrijdag 12 januari 2018;17:30;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Rotterdam Noord;Birthe Kluijtmans;06-62445543;BirtheKluijtmans@cuvox.de;De Kempenaerstraat 129;Rotterdam;dinsdag 17 juli 2018;Afhalen;dinsdag 17 juli 2018;16:17;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 47,80;€ 47,80;;€ 0,00;€ 47,80

Hoofddorp;Mine Mooiman;06-18972366;MineMooiman@fleckens.hu;Richtersweg 48;Enschede;donderdag 21 november 2019;Afhalen;donderdag 21 november 2019;19:14;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 38,80;2e pizza gratis bij afhalen;€ 8,95;€ 29,85
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;;;;

Arnhem;Jean-Pierre van de Wiel;06-68498327;Jean-PierrevandeWiel@armyspy.com;Limburgsingel 153;Arnhem;dinsdag 16 oktober 2018;Afhalen;dinsdag 16 oktober 2018;19:38;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;;2;Beenham, Chorizo, Tonijn, Groene Olijven;€ 5,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Groningen Boterdiep;Kimo Greven;06-89450860;KimoGreven@armyspy.com;Wibenaheerd 57;Groningen;vrijdag 18 augustus 2017;Afhalen;vrijdag 18 augustus 2017;17:08;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Heerenveen;Debora van der Vorm;06-94887429;DeboravanderVorm@fleckens.hu;Houtwallen 42;Katlijk;zaterdag 5 oktober 2019;Afhalen;zaterdag 5 oktober 2019;16:10;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;;4;;€ 0,00;€ 19,80;€ 62,55;;€ 0,00;€ 62,55
;;;;;;;;;;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 21,90;;;;
